City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,dikson,73.5069,80.5464,3.6,92,100,31.12,RU,1676016619
84,sinnai,39.3042,9.2036,46.51,71,20,8.05,IT,1676017061
85,atuona,-9.8,-139.0333,78.84,80,9,19.37,PF,1676016947
86,hermanus,-34.4187,19.2345,79.81,61,29,13.02,ZA,1676017062
87,sorland,67.667,12.6934,31.86,74,75,19.57,NO,1676017063
88,agara,42.0376,43.8238,35.13,71,94,5.82,GE,1676017064
89,moindou,-21.6924,165.677,80.1,85,100,14.76,NC,1676017065
90,thompson,55.7435,-97.8558,2.21,96,100,6.93,CA,1676016530
91,bytca,49.224,18.5588,18.59,85,0,1.14,SK,1676017067
92,hithadhoo,-0.6,73.0833,81.52,75,79,10.16,MV,1676017069
93,dingle,10.9995,122.6711,81.5,75,17,13.29,PH,1676017070
94,zyryanskoye,56.8306,86.6258,2.75,89,100,2.89,RU,1676017071
95,kirovsk,48.6375,38.6428,25.11,65,100,6.69,UA,1676017072
96,vestmannaeyjar,63.4427,-20.2734,43.79,93,100,21.85,IS,1676017072
97,alofi,-19.0595,-169.9187,76.89,94,75,3.44,NU,1676016948
98,yumbo,3.5823,-76.4915,67.77,88,40,2.3,CO,1676017073
99,fortuna,40.5982,-124.1573,47.66,87,82,1.99,US,1676017071
100,san policarpo,12.1791,125.5072,80.11,81,100,13.4,PH,1676017075
101,east london,-33.0153,27.9116,74.34,88,75,8.05,ZA,1676017076
102,aswan,24.0934,32.907,70.47,20,98,9.28,EG,1676016828
103,bilma,18.6853,12.9164,68.29,20,0,17.85,NE,1676016807
104,puerto escondido,15.85,-97.0667,75.4,63,0,5.88,MX,1676017079
105,kaduna,10.5222,7.4383,75.78,10,6,12.08,NG,1676017081
106,souillac,-20.5167,57.5167,84.58,65,40,14.97,MU,1676017083
107,mecca,21.4267,39.8261,78.73,32,0,3.96,SA,1676016901
108,kapaa,22.0752,-159.319,75.52,80,100,21.85,US,1676017085
109,pisco,-13.7,-76.2167,71.65,94,100,2.3,PE,1676017086
110,tabou,4.423,-7.3528,79.93,82,14,1.92,CI,1676017087
111,slavutych,51.5196,30.7343,24.13,70,8,11.18,UA,1676017088
112,calvinia,-31.4707,19.776,78.62,36,0,13.8,ZA,1676017090
113,vila franca do campo,37.7167,-25.4333,57.61,87,45,9.37,PT,1676017093
114,saryozek,44.3583,77.9753,19.85,74,98,5.91,KZ,1676017095
115,new norfolk,-42.7826,147.0587,66.9,59,44,4.0,AU,1676017096
116,hualmay,-11.0964,-77.6139,70.93,89,97,6.22,PE,1676017097
117,agadez,19.75,10.25,65.88,21,3,10.29,NE,1676017098
118,esperance,-33.8667,121.9,74.35,59,0,18.7,AU,1676017099
119,zhigansk,66.7697,123.3711,-36.38,98,99,4.74,RU,1676017100
120,peniche,39.3558,-9.3811,48.92,75,1,21.54,PT,1676017090
121,biak,-0.9131,122.8766,82.9,68,100,3.89,ID,1676017104
122,hobart,-42.8794,147.3294,68.27,79,40,16.11,AU,1676016825
123,monrovia,6.3005,-10.7969,76.77,85,17,3.8,LR,1676017106
124,humaita,-7.5061,-63.0208,71.69,99,90,0.36,BR,1676017107
125,sobolevo,54.4299,31.8996,22.84,88,100,15.28,RU,1676017107
126,kirakira,-10.4544,161.9205,81.32,80,100,6.06,SB,1676017108
127,naze,28.3667,129.4833,63.52,76,74,14.5,JP,1676017109
128,alta floresta,-9.8756,-56.0861,69.01,98,95,1.68,BR,1676016616
129,tuatapere,-46.1333,167.6833,55.71,75,78,5.86,NZ,1676017111
130,fort william,56.8165,-5.1121,47.3,96,100,12.5,GB,1676017112
131,severo-kurilsk,50.6789,156.125,20.34,66,83,22.39,RU,1676017112
132,pangai,-19.8,-174.35,81.1,80,100,10.16,TO,1676017113
133,karpathos,35.507,27.2132,53.56,54,40,5.75,GR,1676017114
134,shimoda,34.6667,138.95,40.1,95,100,14.61,JP,1676017117
135,roald,62.5833,6.1333,36.34,55,20,13.8,NO,1676017117
136,berlevag,70.8578,29.0864,30.15,74,75,26.46,NO,1676017119
137,voronovytsya,49.1095,28.6808,21.67,66,61,9.22,UA,1676017119
138,oktyabrskoye,43.0645,44.7417,19.54,93,20,2.24,RU,1676017120
139,piranshahr,36.701,45.1413,26.24,86,95,5.77,IR,1676017121
140,kununurra,-15.7667,128.7333,98.58,41,66,3.44,AU,1676017122
141,te anau,-45.4167,167.7167,56.95,69,77,2.73,NZ,1676017122
142,broome,42.2506,-75.833,53.65,78,40,8.05,US,1676017123
143,nikolskoye,59.7035,30.7861,30.79,89,100,15.99,RU,1676016718
144,vardo,70.3705,31.1107,22.98,80,0,19.57,NO,1676017126
145,seymchan,62.8833,152.4333,-35.46,98,100,0.54,RU,1676016705
146,carnarvon,-24.8667,113.6333,82.09,65,5,27.04,AU,1676017127
147,avarua,-21.2078,-159.775,75.25,94,100,1.14,CK,1676016948
148,nsanje,-16.92,35.262,89.67,55,100,6.17,MW,1676017128
149,tevaitoa,-16.7833,-151.5,82.42,69,9,12.46,PF,1676017129
150,vao,-22.6667,167.4833,78.87,86,100,15.28,NC,1676017131
151,victoria,22.2855,114.1577,75.33,84,82,5.99,HK,1676016513
152,chapada dos guimaraes,-15.4606,-55.7497,69.46,89,99,3.51,BR,1676017132
153,iisalmi,63.5592,27.1907,29.71,97,100,4.27,FI,1676016986
154,sawakin,19.1059,37.3321,74.43,69,96,10.07,SD,1676017133
155,ancud,-41.8697,-73.8203,57.79,97,95,5.68,CL,1676017136
156,nelson bay,-32.7167,152.15,81.09,76,0,17.0,AU,1676017138
157,sitka,57.0531,-135.33,39.09,81,100,21.85,US,1676017142
158,jizan,17.3333,42.6667,86.94,46,5,3.78,SA,1676017143
159,saint-pierre,-21.3393,55.4781,87.48,51,0,6.91,RE,1676016730
160,laguna,38.421,-121.4238,53.31,91,0,1.01,US,1676017145
161,bathsheba,13.2167,-59.5167,77.61,73,40,20.71,BB,1676017146
162,tuktoyaktuk,69.4541,-133.0374,-24.14,97,67,9.62,CA,1676017149
163,anadyr,64.75,177.4833,-25.1,68,100,11.18,RU,1676017150
164,neftcala,39.3742,49.2472,39.7,56,89,10.78,AZ,1676017153
165,korla,41.7597,86.1469,39.6,37,100,6.29,CN,1676017154
166,kismayo,-0.3582,42.5454,83.26,64,4,14.9,SO,1676017155
167,mizan teferi,6.9833,35.5833,83.43,27,36,2.24,ET,1676017157
168,jalu,29.0331,21.5482,58.66,48,100,3.47,LY,1676017157
169,cidreira,-30.1811,-50.2056,71.92,87,74,5.95,BR,1676017158
170,smyrna,33.884,-84.5144,52.07,92,20,6.91,US,1676017160
171,petropavlovsk-kamchatskiy,53.0452,158.6483,7.39,66,40,4.47,RU,1676017162
172,lagoa,39.05,-27.9833,56.66,62,100,10.89,PT,1676017162
173,barra patuca,15.8,-84.2833,74.93,82,4,9.4,HN,1676017165
174,karatau,43.1667,70.4667,23.05,65,10,13.51,KZ,1676017166
175,cabedelo,-6.9811,-34.8339,77.67,82,97,13.11,BR,1676017167
176,ghanzi,-21.5667,21.7833,78.15,49,0,0.31,BW,1676017168
177,poum,-20.2333,164.0167,82.76,86,100,31.07,NC,1676017169
178,san patricio,28.017,-97.5169,62.46,69,56,4.14,US,1676016499
179,qaanaaq,77.484,-69.3632,-9.6,60,0,8.68,GL,1676017172
180,port-cartier,50.0334,-66.8654,6.48,87,100,9.6,CA,1676017172
181,tura,25.5198,90.2201,78.51,27,0,6.06,IN,1676017173
182,torbay,47.6666,-52.7314,16.57,82,100,20.71,CA,1676017174
183,jiujiang,29.7333,115.9833,51.8,72,100,7.02,CN,1676017175
184,ornskoldsvik,63.2909,18.7153,29.35,69,0,26.46,SE,1676017177
185,rio grande,-32.035,-52.0986,71.91,84,0,4.85,BR,1676017177
186,newport,51.5877,-2.9984,39.78,90,100,6.78,GB,1676016891
187,nanortalik,60.1432,-45.2371,27.52,94,100,1.12,GL,1676017178
188,pevek,69.7008,170.3133,-28.66,100,100,4.07,RU,1676017179
189,buraydah,26.326,43.975,54.05,32,100,12.84,SA,1676017181
190,vila,42.0304,-8.1588,32.88,71,0,4.94,PT,1676017182
191,inta,66.0317,60.1659,28.85,91,100,21.54,RU,1676017183
192,marawi,7.9986,124.2928,72.12,92,69,5.44,PH,1676017184
193,cayenne,4.9333,-52.3333,77.04,88,40,0.0,GF,1676016948
194,teyateyaneng,-29.1472,27.7489,58.87,89,100,2.55,LS,1676017186
195,andenes,69.3143,16.1194,30.18,64,75,24.16,NO,1676017183
196,ust-kulom,61.6864,53.6902,27.45,91,93,8.95,RU,1676017187
197,kochki,54.3358,80.4806,2.44,91,81,2.24,RU,1676017188
198,ilulissat,69.2167,-51.1,-2.18,78,100,11.5,GL,1676017189
199,itoman,26.1247,127.6694,66.58,84,75,18.41,JP,1676017190
200,port blair,11.6667,92.75,86.04,58,75,11.5,IN,1676017191
201,kaeo,-35.1,173.7833,67.32,82,100,3.85,NZ,1676017191
202,micheweni,-4.9667,39.8333,83.3,71,27,12.8,TZ,1676017192
203,carambei,-24.9178,-50.0972,59.77,93,69,4.0,BR,1676017193
204,lillooet,50.6856,-121.942,38.34,97,100,5.19,CA,1676017011
205,prieska,-29.6641,22.7474,75.27,46,0,13.8,ZA,1676017195
206,gizo,-8.103,156.8419,82.67,75,99,10.22,SB,1676017201
207,kiama,-34.6833,150.8667,76.37,70,78,1.99,AU,1676017203
208,choma,-16.8065,26.9531,71.71,82,86,6.87,ZM,1676017154
209,onega,63.9061,38.1404,26.49,91,100,12.01,RU,1676017206
210,abu kamal,34.4506,40.9171,46.99,42,100,6.49,SY,1676017209
211,leeton,-34.5667,146.4,98.89,14,50,5.5,AU,1676017210
212,shreveport,32.5251,-93.7502,46.69,79,0,3.44,US,1676016955
213,malinyi,-8.9333,36.1333,79.11,79,99,0.85,TZ,1676017212
214,vaini,-21.2,-175.2,78.96,94,75,6.91,TO,1676017214
215,shelburne,44.0787,-80.2041,34.25,98,100,21.88,CA,1676017215
216,shihezi,44.3,86.0333,30.18,88,96,2.89,CN,1676017217
217,richards bay,-28.783,32.0377,72.5,96,100,11.45,ZA,1676017053
218,havre-saint-pierre,50.2334,-63.5986,6.8,65,100,5.75,CA,1676017220
219,kautokeino,69.0125,23.0412,3.33,91,89,5.66,NO,1676017220
220,thinadhoo,0.5333,72.9333,81.32,76,40,10.67,MV,1676017222
221,lebu,-37.6167,-73.65,58.8,95,3,5.01,CL,1676017223
222,oksfjord,70.2396,22.3479,28.47,85,100,14.43,NO,1676017223
223,karuzi,-3.125,30.1333,74.05,61,20,2.91,BI,1676017225
224,bengkulu,-3.8004,102.2655,84.7,65,7,13.65,ID,1676017226
225,akyab,20.15,92.9,79.0,54,88,14.65,MM,1676017226
226,walvis bay,-22.9575,14.5053,67.08,82,99,4.83,NA,1676017227
227,los llanos de aridane,28.6585,-17.9182,53.35,94,75,4.61,ES,1676017228
228,provideniya,64.3833,-173.3,-17.72,97,73,8.23,RU,1676017229
229,howard springs,-12.497,131.047,84.11,85,100,11.27,AU,1676017231
230,barra do bugres,-15.0725,-57.1811,71.4,95,76,2.44,BR,1676017232
231,port hardy,50.6996,-127.4199,42.35,90,98,15.88,CA,1676016666
232,sabang,5.8933,95.3214,80.56,79,24,15.88,ID,1676017234
233,general roca,-39.0333,-67.5833,73.62,37,34,9.37,AR,1676017235
234,tilichiki,60.4667,166.1,-15.63,84,100,12.44,RU,1676017237
235,borovskoy,53.8,64.15,22.48,94,98,11.41,KZ,1676017239
236,kodiak,57.79,-152.4072,18.91,68,100,4.61,US,1676017218
237,filadelfia,39.9523,-75.1638,63.05,80,40,19.57,US,1676016955
238,grindavik,63.8424,-22.4338,40.95,100,100,17.27,IS,1676017240
239,punto fijo,11.6956,-70.1996,75.0,85,78,20.96,VE,1676017242
240,longyearbyen,78.2186,15.6401,19.24,93,75,1.14,SJ,1676017243
241,amethi,26.15,81.8167,84.76,24,0,6.82,IN,1676017243
242,kilindoni,-7.9139,39.6668,83.14,75,48,12.15,TZ,1676017244
243,mkuranga,-7.118,39.2078,84.65,65,91,9.26,TZ,1676017246
244,santa maria,-29.6842,-53.8069,70.09,71,36,2.51,BR,1676017247
245,salinopolis,-0.6136,-47.3561,77.7,86,13,6.87,BR,1676017247
246,praia da vitoria,38.7333,-27.0667,57.45,77,75,10.18,PT,1676017249
247,kidal,18.4411,1.4078,75.47,13,0,11.52,ML,1676017249
248,bac lieu,9.285,105.7244,83.97,60,61,16.64,VN,1676017250
249,patnos,39.2336,42.8634,-5.57,83,22,1.9,TR,1676017251
250,chuy,-33.6971,-53.4616,66.76,89,0,2.59,UY,1676017251
251,taiyuan,37.8694,112.5603,39.06,56,9,2.24,CN,1676017078
252,bambous virieux,-20.3428,57.7575,85.21,65,40,14.97,MU,1676017260
253,leningradskiy,69.3833,178.4167,-24.75,95,99,8.5,RU,1676017260
254,aligudarz,33.4006,49.6949,23.47,69,59,4.59,IR,1676017261
255,kabinda,-6.1333,24.4833,80.06,63,78,3.2,CD,1676017262
256,evensk,61.95,159.2333,-8.34,71,100,9.89,RU,1676017263
257,braganca,-1.0536,-46.7656,72.97,97,10,0.94,BR,1676017263
258,oyem,1.5995,11.5793,77.88,67,81,3.76,GA,1676017264
259,gobabis,-22.45,18.9667,78.21,31,0,7.72,NA,1676017265
260,necochea,-38.5473,-58.7368,62.62,91,3,9.42,AR,1676017266
261,strezhevoy,60.7333,77.5889,4.86,93,33,6.04,RU,1676017267
262,saint anthony,45.0205,-93.218,15.75,62,0,14.97,US,1676017267
263,coihaique,-45.5752,-72.0662,54.21,87,0,3.44,CL,1676017268
264,guerrero negro,27.9769,-114.0611,59.97,46,2,0.34,MX,1676017269
265,ribeira grande,38.5167,-28.7,54.0,66,20,11.5,PT,1676017272
266,virtsu,58.5716,23.5115,36.99,45,49,26.89,EE,1676017273
267,plavsk,53.7094,37.2919,23.54,86,14,14.72,RU,1676017275
268,ambon,-3.6954,128.1814,84.34,70,40,13.8,ID,1676017276
269,uruzgan,32.8333,66.0,42.53,29,0,7.96,AF,1676017276
270,horodyshche,49.2849,31.4451,24.85,61,12,9.64,UA,1676017282
271,migori,-1.0634,34.4731,81.03,43,73,3.49,KE,1676017283
272,kaka,37.3482,59.6143,33.53,65,99,6.08,TM,1676017283
273,kijang,35.2442,129.2139,49.73,71,97,6.24,KR,1676017284
274,farap,39.1704,63.6116,30.2,47,0,9.22,TM,1676017285
275,los corrales de buelna,43.2636,-4.0726,42.1,83,0,1.99,ES,1676017286
276,conceicao do araguaia,-8.2578,-49.2647,71.29,93,14,1.57,BR,1676017292
277,tucurui,-3.7661,-49.6725,72.28,98,20,3.02,BR,1676017286
278,chifeng,42.2683,118.9636,38.93,33,5,4.54,CN,1676017293
279,skjervoy,70.0311,20.9714,28.4,68,100,35.34,NO,1676017294
280,margate,51.3813,1.3862,40.69,85,55,1.01,GB,1676017291
281,mount isa,-20.7333,139.5,92.97,29,13,12.66,AU,1676017297
282,itaocara,-21.6692,-42.0761,70.43,97,84,0.34,BR,1676017297
283,sasaram,24.951,84.0149,87.4,16,0,9.64,IN,1676017298
284,cooma,-36.2333,149.1333,69.64,59,68,0.76,AU,1676017299
285,faanui,-16.4833,-151.75,82.35,70,1,12.24,PF,1676017299
286,topolobampo,25.6,-109.05,56.16,84,60,10.04,MX,1676017300
287,trorod,55.8395,12.5443,40.32,89,59,13.22,DK,1676017300
288,namibe,-15.1961,12.1522,73.29,65,96,3.71,AO,1676017301
289,balakhninskiy,58.0106,114.2769,9.57,94,100,1.99,RU,1676017302
290,bontang,0.1333,117.5,82.36,72,100,8.12,ID,1676017303
291,cabanbanan,14.2404,121.4341,86.9,67,37,10.96,PH,1676017303
292,alcazar de san juan,39.3901,-3.2083,34.75,80,7,11.74,ES,1676017304
293,dubreka,9.7911,-13.5233,75.27,59,6,2.51,GN,1676017305
294,talnakh,69.4865,88.3972,-1.61,98,100,16.98,RU,1676017305
295,lavrentiya,65.5833,-171.0,-20.38,94,83,6.24,RU,1676017307
296,betioky,-23.7167,44.3833,80.67,61,100,6.04,MG,1676017308
297,isangel,-19.55,169.2667,79.57,86,100,12.91,VU,1676017308
298,arman,59.7,150.1667,0.59,76,100,9.4,RU,1676017309
299,rio claro,-22.4114,-47.5614,66.29,94,0,2.21,BR,1676017033
300,taoudenni,22.6783,-3.9836,66.78,18,100,17.18,ML,1676017311
301,steamboat springs,40.485,-106.8317,4.69,83,0,0.0,US,1676017183
302,mehamn,71.0357,27.8492,30.11,86,40,17.27,NO,1676017312
303,kavieng,-2.5744,150.7967,79.88,86,100,9.57,PG,1676017313
304,baleshwar,21.4942,86.9317,89.24,24,68,4.94,IN,1676017314
305,tiksi,71.6872,128.8694,-40.68,99,69,4.38,RU,1676017315
306,saldanha,-33.0117,17.9442,89.65,58,0,4.09,ZA,1676017316
307,mahebourg,-20.4081,57.7,85.24,65,40,14.97,MU,1676017317
308,dekar,-21.5333,21.9333,78.46,50,0,1.34,BW,1676017318
309,bandarbeyla,9.4942,50.8122,79.0,63,1,19.84,SO,1676017318
310,roma,43.2128,-75.4557,46.72,94,100,4.61,US,1676017319
311,ixtapa,20.7,-105.2,67.23,86,68,1.01,MX,1676017319
312,brainerd,46.358,-94.2008,8.62,61,0,6.91,US,1676017268
313,tazmalt,36.3868,4.3989,39.85,97,99,4.45,DZ,1676017321
314,aklavik,68.2191,-135.0107,-17.93,98,100,3.42,CA,1676017322
315,chulman,56.8479,124.9104,-8.57,95,100,2.37,RU,1676017322
316,vanimo,-2.6741,141.3028,81.52,81,97,12.75,PG,1676017323
317,matara,5.9485,80.5353,81.0,73,31,4.36,LK,1676017324
318,urucara,-2.5364,-57.76,71.69,99,61,1.95,BR,1676017325
319,marquette,46.5333,-87.6335,26.04,85,100,11.99,US,1676017040
320,clyde river,70.4692,-68.5914,-30.77,68,0,10.36,CA,1676017326
321,lompoc,34.6391,-120.4579,57.58,76,0,10.36,US,1676017200
