City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,herat,34.5,62.0,49.42,68,100,6.67,AF,1675822562
265,bathurst,-33.4166,149.5806,80.73,51,91,10.33,AU,1675822563
266,kodiak,57.79,-152.4072,27.91,50,0,16.11,US,1675822565
267,lokosovo,61.1333,74.8167,-19.79,100,71,4.56,RU,1675822566
268,bengkulu,-3.8004,102.2655,81.16,63,74,5.35,ID,1675822568
269,biak,-0.9131,122.8766,78.35,80,100,5.84,ID,1675822570
270,sitka,57.0531,-135.33,37.29,81,100,0.0,US,1675822495
271,antalaha,-14.9003,50.2788,73.0,91,100,5.35,MG,1675822572
272,misratah,32.3754,15.0925,55.36,63,100,15.93,LY,1675822573
273,fortuna,40.5982,-124.1573,52.99,78,40,6.91,US,1675822574
274,atuona,-9.8,-139.0333,79.29,74,28,16.49,PF,1675822575
275,duldurga,50.6761,113.5931,7.3,83,37,1.95,RU,1675822577
276,hibbing,47.4272,-92.9377,29.55,40,0,3.44,US,1675822578
277,dehloran,32.6941,47.2679,49.46,63,30,1.57,IR,1675822580
278,katherine,-14.4667,132.2667,91.72,52,61,6.91,AU,1675822580
279,constitucion,-35.3333,-72.4167,59.67,71,0,9.24,CL,1675822562
280,lasa,46.6166,10.7002,24.03,79,30,0.51,IT,1675822582
281,carnarvon,-24.8667,113.6333,83.84,52,0,15.75,AU,1675822583
282,san rafael,-34.6177,-68.3301,82.11,32,25,7.4,AR,1675822584
283,san cristobal,7.7669,-72.225,69.98,78,12,1.66,VE,1675822585
284,beringovskiy,63.05,179.3167,-17.14,94,82,7.72,RU,1675822586
285,east london,-33.0153,27.9116,70.68,84,100,11.59,ZA,1675822497
286,aklavik,68.2191,-135.0107,-20.33,95,100,7.99,CA,1675822588
287,petropavlovsk-kamchatskiy,53.0452,158.6483,14.59,48,20,4.47,RU,1675822589
288,kaifeng,34.7911,114.3483,44.89,43,100,16.28,CN,1675822590
289,wattegama,6.7989,81.4808,73.9,89,100,5.03,LK,1675822295
290,dongsheng,39.8161,109.9776,23.14,50,100,9.48,CN,1675822592
291,jalu,29.0331,21.5482,48.61,58,68,6.44,LY,1675822437
292,katsuura,35.1333,140.3,51.82,71,98,18.07,JP,1675822496
293,broken hill,-31.95,141.4333,85.69,16,0,11.34,AU,1675822594
294,hatillo,18.4863,-66.8254,75.09,93,13,4.0,PR,1675822596
295,saint-francois,46.4154,3.9054,22.68,86,1,0.0,FR,1675822596
296,norman wells,65.282,-126.8329,-9.36,77,75,0.0,CA,1675822597
297,wahiawa,21.5028,-158.0236,77.32,72,75,10.36,US,1675822598
